dataset,minsup,algo,peak_rss_bytes,peak_rss_mb,n_itemsets
chess,-,baseline,401547264,401.55,3196
mushrooms,-,baseline,404570112,404.57,8416
retail,-,baseline,446300160,446.3,88162
T10I4D100K,-,baseline,439713792,439.71,100000
chess,0.8,base,425738240,425.74,8227
chess,0.8,opt,409833472,409.83,8227
chess,0.85,base,420167680,420.17,2669
chess,0.85,opt,402071552,402.07,2669
mushrooms,0.3,base,430706688,430.71,2587
mushrooms,0.3,opt,415121408,415.12,2587
retail,0.01,base,509083648,509.08,159
retail,0.01,opt,450732032,450.73,159
T10I4D100K,0.01,base,771174400,771.17,385
T10I4D100K,0.01,opt,772186112,772.19,385
